https,matdom,kwc,preshtml,ipurl,presjs,presform,subdom,dkim,spf,dmarc,mx,numlinks,imgurl,numdoms,res
-1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0.331294597,-1
-1,-1,0.024658885,-1,0,-1,-1,-1,-1,-1,-1,-1,0.065757028,0.008219628,0.156172941,-1
-1,1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1
1,-1,0.028925142,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086775425,0.005785028,0.347101701,-1
-1,-1,0.059361273,-1,0,-1,-1,-1,-1,-1,-1,-1,0.011872255,0.011872255,0.118722545,-1
-1,-1,0.059361273,-1,0,-1,-1,-1,-1,-1,-1,-1,0.011872255,0.011872255,0.118722545,-1
1,-1,0.069079856,1,0,-1,-1,-1,-1,-1,0,-1,0.041447914,0.013815971,0.138159713,-1
-1,-1,0.011276754,-1,0,-1,-1,-1,-1,-1,-1,1,0.069915875,0.002255351,0.306727711,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0,-1,0,-1,-1,-1,0,0,0,-1,0,0,0,-1
-1,-1,0.011358258,-1,0,-1,-1,-1,-1,-1,-1,-1,0.083293895,0.001893043,0.242309513,-1
-1,-1,0.0189173,1,0,-1,-1,-1,-1,-1,-1,1,0.063057666,0.003152883,0.255383548,-1
-1,1,0.050301811,1,0,-1,-1,-1,-1,-1,-1,-1,0.067069081,0.01676727,0.285043595,-1
1,-1,0.008789921,1,0,-1,-1,-1,0,-1,-1,-1,0.06885438,0.001464987,0.194843246,-1
1,-1,0.008789921,1,0,-1,-1,-1,0,-1,-1,-1,0.06885438,0.001464987,0.194843246,-1
1,-1,0.031113877,1,0,-1,-1,-1,-1,-1,-1,-1,0.084451951,0.00444484,0.271135212,-1
-1,-1,0.01889859,-1,0,-1,-1,-1,-1,-1,-1,1,0.064255207,0.003779718,0.362852931,-1
-1,1,0,1,0,-1,-1,-1,0,-1,0,-1,0,0,0.13844024,-1
-1,-1,0.012865597,-1,0,-1,-1,-1,-1,-1,-1,-1,0.05146239,0,0.120078909,-1
-1,-1,0.01247142,-1,0,-1,-1,-1,-1,0,-1,1,0.049885679,0.00415714,0.145499896,-1
-1,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1
-1,1,0.049800797,1,0,-1,-1,-1,-1,-1,-1,-1,0.066401062,0.016600266,0.298804781,-1
-1,1,0.052429221,1,0,-1,-1,-1,-1,-1,-1,-1,0.069905627,0.017476407,0.297098916,-1
-1,-1,0.035520824,-1,0,-1,-1,-1,-1,-1,-1,-1,0.071041648,0.008880206,0.239765563,-1
-1,-1,0.004504978,-1,0,-1,-1,-1,-1,0,-1,1,0.018019912,0.001501659,0.291321911,-1
-1,-1,0.009256117,-1,0,-1,-1,-1,-1,-1,-1,-1,0.055536701,0.003085372,0.225232174,-1
-1,-1,0.003919724,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086233929,0.001959862,0.250862339,-1
-1,-1,0.007846368,-1,0,-1,-1,-1,-1,-1,-1,-1,0.086310049,0.001961592,0.25108378,-1
-1,1,0.04631774,1,0,-1,-1,-1,-1,-1,-1,-1,0.061756986,0.015439247,0.277906438,-1
-1,-1,0.021358394,1,0,-1,-1,-1,-1,-1,-1,1,0.064075182,0.003559732,0.274099388,-1
